CountryExp,NewConfCases,NewDeaths
Afghanistan,24,0
Albania,76,2
Algeria,94,10
Andorra,88,0
Angola,2,0
Antigua and Barbuda,1,0
Argentina,225,4
Armenia,160,0
Australia,1098,7
Austria,3024,8
Azerbaijan,53,1
Bahamas ,4,0
Bahrain,306,1
Bangladesh,24,2
Barbados,14,0
Belarus,76,0
Belgium,2815,67
Benin,2,0
Bermuda,2,0
Bhutan,2,0
Bolivia,20,0
Bosnia and Herzegovina,92,1
Brazil,1128,18
Brunei Darussalam,83,0
Bulgaria,163,3
Burkina Faso,64,3
CASES ON AN INTERNATIONAL CONVEYANCE JAPAN,696,7
Cabo Verde,3,0
Cambodia,51,0
Cameroon,27,0
Canada,1231,13
Cayman Islands ,3,1
Central African Republic ,3,0
Chad,2,0
Chile,537,0
China,81499,3267
Colombia,210,1
Congo ,4,0
Costa Rica,117,2
Cote d'Ivoire,17,0
Croatia,206,1
Cuba,25,1
Cyprus,84,0
Czechia,995,0
Democratic Republic of Congo,46,2
Denmark,1326,13
Djibouti,1,0
Dominican Republic,112,3
Ecuador,532,7
Egypt,285,8
El Salvador,3,0
Equatorial Guinea,6,0
Eritrea,1,0
Estonia,306,0
Eswatini,1,0
Ethiopia,9,0
Faroe Islands ,92,0
Fiji,2,0
Finland,521,1
France,14459,562
French Polynesia,17,0
Gabon,3,1
Gambia ,1,0
Georgia,49,0
Germany,21463,67
Ghana,21,1
Gibraltar,10,0
Greece,530,13
Greenland,2,0
Guam,15,1
Guatemala,17,1
Guernsey,1,0
Guinea,2,0
Guyana,5,1
Haiti,2,0
Honduras,26,0
Hungary,131,4
Iceland,473,1
India,320,4
Indonesia,450,38
Iran,20610,1556
Iraq,214,17
Ireland,785,3
Isle of Man,2,0
Israel,883,1
Italy,53578,4827
Jamaica,19,0
Japan,1046,36
Jersey,12,0
Jordan,84,0
Kazakhstan,56,0
Kenya,7,0
Kosovo,24,0
Kuwait,176,0
Kyrgyzstan,14,0
Latvia,124,0
Lebanon,230,4
Liberia,3,0
Liechtenstein,36,0
Lithuania,105,1
Luxembourg,670,8
Madagascar,3,0
Malaysia,1183,4
Maldives,13,0
Malta,73,0
Mauritania,2,0
Mauritius,14,1
Mexico,251,2
Moldova,80,1
Monaco,18,0
Mongolia,10,0
Montenegro,14,0
Montserrat,1,0
Morocco,96,3
Myanmar,0,0
Namibia,3,0
Nepal,1,0
Netherlands ,3631,136
New Caledonia,4,0
New Zealand,66,0
Nicaragua,1,0
Niger ,1,0
Nigeria,22,0
North Macedonia,85,0
Norway,1926,7
Oman,52,0
Other,13,0
Pakistan,646,3
Palestinian Territories,52,0
Panama,245,3
Papua New Guinea,1,0
Paraguay,22,1
Peru,318,5
Philippines ,380,25
Poland,536,5
Portugal,1280,12
Qatar,481,0
Romania,367,0
Russian Federation ,306,0
Rwanda,17,0
Saint Lucia,2,0
Saint Vincent and the Grenadines,1,0
San Marino,151,20
Saudi Arabia,392,0
Senegal,56,0
Serbia,149,1
Seychelles,7,0
Singapore,432,2
Slovakia,178,0
Slovenia,383,1
Somalia,1,0
South Africa,240,0
South Korea,8897,104
Spain,24926,1326
Sri Lanka,78,0
Sudan ,2,1
Suriname,5,0
Sweden,1746,20
Switzerland,6077,56
Taiwan,153,2
Tanzania,6,0
Thailand,599,1
Timor-Leste,1,0
Togo,15,0
Trinidad and Tobago,49,0
Tunisia,60,1
Turkey,947,21
Uganda,1,0
Ukraine,41,3
United Arab Emirates ,153,2
United Kingdom of Great Britain and Northern Ireland,5018,233
United States of America,26747,340
Uruguay,135,0
Uzbekistan,33,0
Vatican,1,0
Venezuela,36,0
Viet Nam,94,0
Zambia,2,0
Zimbabwe,2,0
